Date,Incident Narrative,Ground Truth
4/4/24,"The armed forces of the 22nd Division in Babanusa responded to an attack by the Rapid Support militia in the southeastern direction of the division headquarters. A number of combat vehicles were destroyed and captured, and they suffered heavy casualties.","Indiscriminate use of weapons,  Military operations (battle,  shelling)"
4/4/24,"Late at night, warplanes launched a number of air strikes in the city of Nyala. The bridge linking Nyala, south and north, was bombed, as well as the driving area in the city center and the neighborhoods of Al-Jir and Texas. There have been no confirmed reports yet of injuries or deaths among civilians.","Damage or destruction of civilian critical infrastructure,  
Military operations (battle,  shelling)"
4/5/24,"From April 5 to 6,  armed militias, reportedly allied with the paramilitary Rapid Support Forces, launched brutal attacks against villages in the Qurdud Nyama region of South Kordofan. The targeted villages include El Laban and El Salamat along with various other places northwest of El Abbasiya locality.According to reports from eyewitnesses, the attacks resulted in the deaths of at least 100 people, including women and children, with certain sources suggesting an even greater death toll. Residents of the attacked villages  lament the lack of protection from both SPLM-N El Hilu and the Sudanese Armed Forces, accusing them of failing to safeguard their lives and property. "," Willful killing of civilians,  Indiscriminate use of weapons"
4/5/24,"According to a military source, the Sudanese Armed Forces launched an offensive on April 5 against RSF positions in order to regain control of Al Jazirah state. According to the source, troops advanced from Al-Khayari towards Rapid Support Forces (RSF) positions East of Al-Jazirah and also launched limited  operations are  on the western and southern fronts, near Al-Manaqil and Sennar. Local sources reported intermittent clashes between the RSF and the soldiers of the Army  East of Wad Madani, near the road connecting Al-Jazirah and Gedaref.  The army’s Air Force also reportedly bombed RSF positions in Shabarqa, East of Wad Madani. This forced the RSF to displace residents from their homes, and use them as makeshift barracks and cover for vehicles from airstrikes. According to the military source, According to the source, the Sudanese Armed Forces  captured Wad Faqisha and Hafira villages.","Military operations (battle,  shelling),  Movement of military,  paramilitary,  or other troops and equipment,  Indiscriminate use of weapons"
4/5/24,"According to a military source, the Sudanese Armed Forces launched an offensive on April 5 against RSF positions in order to regain control of Al Jazirah state. According to the source, troops advanced from Al-Khayari towards Rapid Support Forces (RSF) positions East of Al-Jazirah and also launched limited  operations  on the western and southern fronts, near Al-Manaqil and Sennar. Local sources reported intermittent clashes between the RSF and the soldiers of the Army  East of Wad Madani, near the road connecting Al-Jazirah and Gedaref.  The army’s Air Force also reportedly bombed RSF positions in Shabarqa, East of Wad Madani. This forced the RSF to displace residents from their homes, and use them as makeshift barracks and cover for vehicles from airstrikes. According to the military source, the Sudanese Armed Forces  captured Wad Faqisha and Hafira villages.","Military operations (battle,  shelling),  Movement of military,  paramilitary,  or other troops and equipment,  Indiscriminate use of weapons"
4/6/24,"The Rapid Support Militia attacked the village of Umm Adham with an estimated force of about 200 individuals on the back of 60 motor vehicles and more than 4 combat vehicles fully armed with all types of heavy and light weapons for the purpose of subjugating the people of the village of Umm Adham and plundering and robbing them after the village became a haven. Safe for all the people of the neighboring villages whose villages were invaded. They stormed the village and confronted its unarmed people with weapons. The young men of the village bravely tried to defend their land and honor. This unequal confrontation cost columns of wounded, with a number exceeding two hundred wounded, ranging from serious to mild, and nineteen martyrs so far. This is certain, and the number is subject to increase.","Willful killing of civilians,  Damage or destruction,  looting,  or theft of cultural heritage?"
4/6/24,"On Saturday, April 6th, the Sudan Doctors Committee reported that the RSF massacred 28 people in the village of in “the village of Um Adam” , about 93 miles south of Khartoum, the capital city. More than  240 people  were also wounded in the attack.", Willful killing of civilians
4/7/24,"On  April 7, clashes between the RSF and the Sudanese Armed Forces were reported in the Eastern region of Al Jazirah state, and airstrikes against the RSF positions in the southernm, Western and Eastern parts of the state. While the Sudanese Armed Forces claimed to have captured Al-Qalaa Al-Bayda in Um Al-Qura locality, about 30 kilometres east of the state capital Wad Madani, the RSF commander, Major General Abu Aqla Kika, denied this claim. According to reports received from the Wad Madani Resistance Committees, two civilians in Sharif Yaqoub village were killed by  flying shrapnel.","Military operations (battle,  shelling),  Indiscriminate use of weapons,  Willful killing of civilians"
4/9/24,"On April 9th in the morning, around  9:30 am, three drones reportedly approached the border city of  Gedaref,  from the northwest, buzzing over residential areas. One drone crashed into the mosque at the General Intelligence Service headquarters in the Al-Mutamaf neighbourhood, injuring a security officer and a civilian bystander. A second one was shot down by  Sudan’s 2nd Infantry Division’s anti-aircraft defences successfully near the Gedaref Model School. The third drone, which was  targeting the National Service headquarters, was also shot down. No group claimed responsibility for the attacks. These latest attacks shows a violent escalation of the conflict to previously unaffected regions like Gedaref which was considered a safe haven for displaced civilians.","Military operations (battle,  shelling),  Damage or destruction of civilian critical infrastructure,  Indiscriminate use of weapons"
4/10/24,"On April 10, The UN High Commissioner for Human Rights reported that at least 118 people had been subjected to sexual violence, including rape, gang rape, and attempted rape in Sudan as of mid-December 2023, including 19 children. Many attacks occured in homes and on the streets, that report said, adding that only four victims of sexual violence were willing and able to report to the authorities, owing to stigma, distrust of the justice system, the collapse of the institutions of justice, and fear of reprisals. ","Gender-based or other conflict-related sexual violence,  Violent crackdowns on protesters/opponents/civil rights abuse,  Persecution based on political,  racial,  ethnic,  gender,  or sexual orientation"
4/11/24,"On Thursday, April 11th, an artillery shelling  struck Al-Jarif’s eastern Hab Al-Naseem neighbourhood (Khartoum state), killing at least 13 people and injuring others. The Al-Jarif Emergency Room confirmed the casualties but did not assign blame. However, local activists believe the Rapid Support Forces (RSF) are responsible. They claim that  RSF controls much of the eastern Nile region and fired on a residential area where a social gathering was taking place. This resulted in civilian casualties, including women and children."," Willful killing of civilians,  Indiscriminate use of weapons,  Military operations (battle,  shelling)"
4/11/24,"On April 11th, through a press statement, in El Fasher, the Joint Force of Armed Struggle Movements (JSAMF), a coalition comprising various armed groups from Sudan's Darfur region, has formally renounced neutrality and declared war on the paramilitary Rapid Support Forces (RSF). This decision to join the Sudan Armed Forces (SAF) to fight the RSF militia resulted from latest developments in the conflict.  The JSAMF cited ongoing provocations, insults, attacks, and the hindering of humanitarian aid by the RSF, but also an attack by the RSF against one the Darfur rebel groups as the primary reasons for ending their neutrality. ","Movement of military,  paramilitary,  or other troops and equipment,  Military operations (battle,  shelling)"
4/13/24,"In the evening of April 13, two civilians  were killed and others were injured by gunmen in a looting incident near the Shangli Tobaya administrative unit located on the El Fasher-Nyala road.","Willful killing of civilians,  Damage or destruction,  looting,  or theft of cultural heritage?"
4/13/24,"Following the reports of  fierce clashes and airstrikes in and around El Fasher, the capital city of North Darfur, « the last state capital not under RSF control in the vast Darfur region », UN Secretary-General Antonio Guterres had warned in this statement released on April 13: ""Such an attack would be devastating for civilians in the city and could lead to an expansion of the conflict along intercommunal lines across the five Darfur states. El Fasher is a humanitarian hub for the United Nations that ensures lifesaving assistance is distributed across the five Darfur states in accordance with needs.""","Military operations (battle,  shelling),  Indiscriminate use of weapons,  Damage or destruction of civilian critical infrastructure"
4/13/24,"Fierce clashes have erupted in and around Darfur's El-Fasher which had been relatively calm since the war erupted in Sudan last year between the army and a rival paramilitary force, raising fears of a further expansion of the conflict. The local resistance committee, one of many pro-democracy groups organizing aid across the country, said on Saturday a militia allied with the paramilitary Rapid Support Forces (RSF) had set ablaze six villages west of El-Fasher."," Military operations (battle,  shelling)"
4/13/24,"On Saturday April 13, the Rapid Support Forces (RSF)with the support of Arab miltias, launched attacks against several villages West of Al Fasher (North Darfur). These attacks followed a series of attacks  that started on April 6th and resulted in civilian casualties, the burning of entire villages, mostly populated by the Zaghawa ethnic group, and a massive displacement of population.  According to eyewitnesses, over 16 villages were attacked, including Sarafaya, Um Ashoosh, and Tarkina. At least six villages  were  burned down entirely, forcing thousands  of residents to flee to Shagra, Golo, and to  Zamzam camp, an overcrowded settlment that has already welcome tens of thousands of displaced persons.
Displaced résidents from the targeted villages reported to Sudan Tribune that the assaults were coordinated by « RSF gunmen and individuals in civilian clothing, utilizing vehicles, motorcycles, horses, and camels »Many civilian casualties were reported by witnesses. But, by April 14, « The North Darfur State Ministry of Health confirmed seven deaths, eight injuries, and two missing persons. The estimated number of displaced civilians currently stands between 5,000 and 7,000. »","Willful killing of civilians,  Persecution based on political,  racial,  ethnic,  gender,  or sexual orientation"
4/13/24,"Bloody clashes erupted in El Fasher, the capital of North Darfur, on Saturday between a faction of the Sudan Liberation Movement-Transitional Council (SLM-TC) and a breakaway group. The fighting caused casualties on both sides.","Military operations (battle,  shelling)"
4/14/24,"In the evening of April 14, at least nine people were killed and 60 others injured as a result of clashes  in El Fasher between the Sudanese Army supported by the Joint Forces on the one hand and the RSF.  Airstrikes destroyed a number of  homes and citizens’ property. Looting incidents  in which civilians were killed were also reported. ","Military operations (battle,  shelling),  Willful killing of civilians,  Indiscriminate use of weapons"
4/14/24,"On April 14, in the morning, the RSF  launched an attack on the Joint Forces in the city of Mellit, North Darfur, while each party claims to control the situation in the city.  Videos showing burned and captured cars and bodies were circulated by members of the Rapid Support Forces on social networking sites.","Military operations (battle,  shelling)"
4/14/24,"On Sunday, April 14,   exchange of artillery fire occured between the Sudanese army and the Rapid Support Forces (RSF) near  Wad Rabia and Al-Zakirin, located North and East of the city of Al-Manaqil, Al Gazira state
Both the Army and RSF reinforced their presence in the area, with the army bolstering its presence North of Wad Rabia, while RSF deployed their troops in the Al-Zakirin area to attack the city of Al-Manaqil from the north.
The two sides exchanged artillery fire intensively, with the sound of artillery explosions heard around the villages scattered between Al-Manaqil and the city of Al-Hasahisa.
Radio Tamazuj  received from several citizens reports about the significant deterioration of the security situation in this area, civilian casualties resulting from the turning of villages into battlefield,  shortages of food,  and the disruption of electricity, water and communication services.","Military operations (battle,  shelling),  Indiscriminate use of weapons,  Willful killing of civilians,  Damage or destruction of civilian critical infrastructure"
4/14/24,"On April 14, at least five people were killed and more than ten others were injured as a result of exchanges of fire between the Sudanese army and the Rapid Support Forces in the city of El Obeid, the capital of North Kordofan State. Both sides used heavy and light weapons in the exchange of fire, with a number of projectiles falling on citizens' homes, killing at least two children and three others on the spot, and about 12 people were injured in the exchange of fire between the two sides.","Indiscriminate use of weapons,  Willful killing of civilians,  Military operations (battle,  shelling)"
4/15/24,"A video shows RSF arresting some people, and some civilians celebrating with them",Unlawful detention
4/15/24,Army artillery in El Fasher on the northern neighborhoods of Abuja camp targeting military sites for rapid support. Clashes with heavy and light weapons take place at the Mellit Gate.," Military operations (battle,  shelling),  Indiscriminate use of weapons,  Damage or destruction of civilian critical infrastructure"
4/15/24,"The Rapid Support militia has been committing heinous crimes of killing, looting and burning in the western countryside of El Fasher. Since yesterday until today, they have burned the Sarfaya area and its neighboring villages and forced the displacement of its defenseless residents. They are now being confronted by a joint force of armed movements."," Willful killing of civilians,  Forced displacement"
4/15/24,"Video: showing the effects of destruction resulting from fires in the village of Muqrin in North Darfur state, where the village is about 21 kilometers from the city of El Fasher. In the video, the photographer talks about the comprehensive destruction that befell the camp, as nothing was left of it, and the sabotage of water sources in the village, in addition to the destruction of the movement’s forces’ camp.", Damage or destruction of civilian critical infrastructure
4/15/24,"Groups supported by the Rapid Support Forces launched new attacks on villages west of El Fasher on Monday, April 15, 2024  for the fourth day in a row. The groups burned the villages of (Tequila), (Ammar Jadid), and (Donki Shatta), in addition to looting the market and livestock, which led to the displacement of its residents towards El Fasher as well. Three village residents were injured by bullets and were taken to El Fasher South Hospital."," Forced displacement,  Indiscriminate use of weapons"
4/15/24,"At least six civilians were killed and 61 others injured in clashes between the Sudanese Armed Forces and the paramilitary Rapid Support Forces in El Fasher, the capital city of North Darfur State, the Sudanese Doctors' Union said.","Military operations (battle,  shelling),  Willful killing of civilians"
4/16/24,"Battles continued in El Fasher between the Sudanese Armed Forces (SAF) and allied forces from the Joint Forces for Peace in Juba on the one hand and the Rapid Support Forces (RSF) throughout the day on Tuesday, April 16, 2024.  Each side claims to have made progress on the ground at the expense of the other party.   According to field sources from El Fasher, the Sudanese Armed Forces and the Joint Forces of the Juba Peace Forces launched an extensive attack on the RSF in the northern and eastern directions of the city, where the chases penetrated into the Abu Shouk camp for displaced persons and the nearby Abu Shouk neighborhood, causing the death and injury of many civilians.
Sudanese Emergency Lawyers reported on Tuesday, April 16,  that clashes between the Sudanese army and its rival paramilitary have killed at least 25 civilians in the North Darfur town of El-Fasher. The city and its surrounding villages have suffered several days of “arbitrary shelling and air strikes,” according to the Emergency Lawyers, which have been documenting atrocities committed against civilians since fighting began a year ago between the army and the paramilitary Rapid Support Forces (RSF).","Indiscriminate use of weapons,  Willful killing of civilians,  Military operations (battle,  shelling)"
4/17/24,"In Sharg (East) Sennar warplanes continued to fly over the area throughout the day and dropped bombs near villages of the Sennar Sugar Factory, a resident of Garsli told Radio Dabanga on April 18.","Indiscriminate use of weapons,  Military operations (battle,  shelling),  Damage or destruction of civilian critical infrastructure"
4/17/24,"Late on Wednesday evening and yesterday morning, April 17 and 18, warplanes bombed neighbourhoods in El Fasher and Nyala. Listeners in the North Darfur capital told Radio Dabanga that the air raids did not cause any casualties. People reported from Nyala, capital of South Darfur, that the aerial bombardments targeted a site in the Kishlingo area used by the RSF for logistical purposes.","Indiscriminate use of weapons,  Military operations (battle,  shelling),  Damage or destruction of civilian critical infrastructure"
4/17/24,"Satellite data, according to the London-based Center for Information Resilience, showed that a growing number of villages have been destroyed or severely damaged in recent weeks in Darfur, especially  El Fasher, by fire, mostly airstrikes, suggesting an intensification of the conflict. The highest number of fire events (39) was recorded in March. See map and satellite imagery of fire events in the source.","Indiscriminate use of weapons,  Damage or destruction of civilian critical infrastructure,  Military operations (battle,  shelling)
"
4/17/24,"On Wednesday, April 17, two civilians were killed in aerial bombardments of Wad Madani, capital of El Gezira.","Indiscriminate use of weapons,  Willful killing of civilians,  Military operations (battle,  shelling)"
4/18/24,"Clashes between the Sudanese Armed Forces (SAF) and its paramilitary counterpart, the Rapid Support Forces (RSF), continue in various parts of the country. On April 18, artillery shelling led to the death of a person in El Obeid, the capital of North Kordofan.","Indiscriminate use of weapons,  Willful killing of civilians,  Military operations (battle,  shelling)"
4/18/24,"The RSF occupied Mellit in North Darfur and plundered an army base in El Rahad, North Kordofan."," Military operations (battle,  shelling)"
4/18/24,"In central Sudan, military aircraft continued to bomb areas near Wad El Haddad in the south of El Gezira on April 18."," Military operations (battle,  shelling),  Indiscriminate use of weapons"
4/18/24,"On April 18,    Abdel Hafiz al-Ghali, head of the Initiative to Support the Displaced Persons of West El Fasher Villages, told Sudan Tribune: “The recent attacks displaced over 50,000 people from 31 villages.” The attacks, targeting villages inhabited by the Zaghawa ethnic group, began on April 6th and lasted three days. They resulted in deaths, burning of villages, looting, and mass displacement. The displaced have fled to Tawila and El Fasher, as well as the town of Shakra,  10km west of the state capital."," Willful killing of civilians,  Persecution based on political,  racial,  ethnic,  gender,  or sexual orientation"
4/18/24,"On Thursday, April 18, the Madani Resistance Committees,  a neighbourhood activists group in Al-Jazira state, documented over 800 deaths since the RSF seized control of the state in December 2023. The Resistance Committees declared: “For four months, the RSF has inflicted horrific abuses across Al-Jazira, leaving over 800 dead and thousands injured. The escalating sexual violence against women and children threatens a social catastrophe.”
They also emphasized the systematic nature of the crimes against unarmed civilians. It also criticizes the deliberate disruption of communication networks and internet services for three months, crippling daily life, banking, and essential goods access. Another human rights advocacy group, the Hasahisa Resistance Committees, citing western Madani and rural Tabet eyewitnesses, reported looting, property destruction, and assaults on farmers by the RSF, accusing RSF militants of obstructing wheat harvest, aiming to impoverish and displace citizens."," Willful killing of civilians,  Gender-based or other conflict-related sexual violence,  Damage or destruction of civilian critical infrastructure,  Damage or destruction,  looting,  or theft of cultural heritage"
4/20/24,"From April 20 to 21, there were fierce battles between the army and the Rapid Support Forces (RSF) in the western neighborhoods of the city of El-Obeid,   after the attack launched by the RSF in an attempt to control the command of the 5th Infantry Division, known as Al-Hajana. The clashes and fierce artillery exchanges between the two sides in the western neighborhoods of the city, which included the neighborhoods of Al-Radeef Central, Al-Radeef East, Al-Sahwa, Al-Wahda, Shikan and Al-Salam, led to the indiscriminate shelling of the homes of the citizens of those neighborhoods, resulting in at least seven deaths and 22 wounded among civilians.","Indiscriminate use of weapons,  Willful killing of civilians,  Military operations (battle,  shelling)"
4/21/24,"On Sunday morning, April 21, 2024, the Sudanese army repelled an extended attack by the Rapid Support on the city of El Obeid, the capital of North Kordofan state, after clashes with heavy and light weapons that lasted for several hours.","Military operations (battle,  shelling)"
4/21/24,"On Sunday, April 21, the Sudanse Army repelled an attack by  the RSF in  El Obeid, the capital city of North Kordofan state. According to eyewitnesses,  the RSF attacked from the north and west, with additional forces arriving from the Barra and Nahud roads. ""The attack targeted residential areas including Unit neighborhoods, Squares 12 and 13, and the Taiba neighborhood. Intense fighting erupted, lasting over three hours, before the army repelled the offensive. (...) Videos posted by Sudanese army platforms allegedly show destroyed and captured RSF vehicles, exceeding 10. The videos also reportedly depict family members of RSF soldiers. (...) The RSF, positioned in the city’s western 13th district, responded with Katyusha rocket attacks, killing at least two civilians according to medical sources. The Sudanese army retaliated with airstrikes using barrel bombs on the RSF positions launching the rocket attacks.""     The RSF has reportedly encircled El-Obeid, taken control of Al-Rahd and Um Rowaba localities on the main road connecting North Kordofan and White Nile State, and  cut off the road between North and South Kordofan by seizing the Al-Quz locality in South Kordofan.  Living conditions have worsend for residents  in El-Obeid as a result of this siege and shortages of essential goods and medicine.","Military operations (battle,  shelling),  Willful killing of civilians,  Indiscriminate use of weapons,  Forced displacement,  Damage or destruction of civilian critical infrastructure"
4/22/24,"A  significant development in the war in Northern Darfur on April 22 reported by Sudan War Monitor and Sudan Tribune: "" A key leader within the Rizeigat Arab tribe of Darfur has announced his “national stance,” saying he supports the “political and sovereign institutions” of Sudan, including the army, while also calling for a ceasefire. Musa Hilal is the leader of the Mahamid Rizeigat, a different branch of the same tribe as the Rapid Support Forces leader Mohamed Hamdan Dagalo. Hilal delivered a speech to hundreds of supporters in Um Sunt, North Darfur, in which he called on his fellow tribesmen to “stand up, stand strong with the homeland. Without mentioning the Rapid Support Forces by name, he nevertheless implicitly criticized it as a “militia” and mercenary group trying to lure Rizeigat and foreign mercenaries into the battlegrounds of central Sudan with promises of loot.""","Movement of military,  paramilitary,  or other troops and equipment,  Persecution based on political,  racial,  ethnic,  gender,  or sexual orientation,  Violent crackdowns on protesters/opponents/civil rights abuse"
4/22/24,"On April 22, residents of Tuti Island, located in the center of Khartoum on the Nile River,  interviewed by Sudan Tribune reported that  in areas under RSF control, the paramilitary group is engaged in a campaign of intimidation and violence, including killings, property looting, and restrictions on food and medicine supplies.The paramilitary Rapid Support Forces (RSF) have launched a series of arrests targeting residents multiple sources told Sudan Tribune.

Local area community leaders have been detained for about two weeks now."," Willful killing of civilians,  Damage or destruction,  looting,  or theft of cultural heritage,  Violent crackdowns on protesters/opponents/civil rights abuse"
4/23/24,"Strategic Initiative for Women in the Horn of Africa (SIHA) released report, entitled The Aftermath of Rape: Unwanted Pregnancies and Abandoned Children. The report documented 244 cases of sexual violence, 14 cases of unwanted pregnancies , and at least 7 cases of suicide resulting from unwanted pregnancy over the past year. ","Gender-based or other conflict-related sexual violence,  Persecution based on political,  racial,  ethnic,  gender,  or sexual orientation"
4/23/24,"On Tuesday, April 23, witnesses and army sources reported that the Sudanese army used anti-aircraft missiles  to shoot down drones that were targeting its headquarters in the city of Shendi, locales about 112 miles north of the capital Khartoum. This is  the latest in a series drone attacks targeting areas under the Army’s control. The city of Atbara in River Nile state, and al-Gedaref state were also targeted in drone attacks.  The Army claimed that none of the drones hit their target, but Reuters could not independently verify the report. At least two people were killed and a number of people were injured.","Military operations (battle,  shelling),  Indiscriminate use of weapons,  Willful killing of civilians"
4/26/24,The Sudanese army announced  that it had shot down three drones that attempted to target Merowe Airport on April 26 in the northern state. This attack comes 48 hours after the army reported engaging reconnaissance drones in the Umm Bakul area near Meroe and thwarting their mission.,"Military operations (battle,  shelling)"
4/26/24,"On Friday, 26 April, around midnight, airstrikes by the Sudan Armed Forces killed more than 200 camels that were resting along with 7 herdsmen in an area located about 38 Km West of Melit town, North Darfur. According to a statement released by the RSF that controls the area,  ""the SAF dropped 17-barrel bombs, killing over 300 camels"". ","Indiscriminate use of weapons,  Willful killing of civilians"
4/26/24,"On April 26,Sudanese military aircraft conducted airstrikes  targeting positions held by the Rapid Support Forces (RSF) in several locations. These airstrikes, reportedly, caused civilian casualties according to local sources. According to reports received from the same sources by Sudan Tribune, warplanes bombed RSF sites East of El Fasher, the capital of North Darfur, as well as Mellit, a town located about  60 kilometers North. Additionally, airstrikes were reported near Al-Qatina locality in the White Nile State, south of Khartoum, resulting in the destruction of RSF armoured vehicles.","Military operations (battle,  shelling),  Indiscriminate use of weapons,  Willful killing of civilians"
4/28/24,"On Sunday, April 28, eight former Darfur rebel groups announced at the end of a three-day conference, a joint plan to collaborate with the Sudanese Armed Forces in to ""retake cities under militia control, improve civilian protection, and preserve the unity of Sudan’s land and people.” Except El Fasher, the four other state capitals (Nyala of West Darfur, Geneina of West Darfur, Daein of East Darfur, and Zalingei of Central Darfur) are controlled by the RSF.","Movement of military,  paramilitary,  or other troops and equipment,  Military operations (battle,  shelling)"
4/29/24,"In a report published on April 29, the Yale Humanitarian Research Lab brought visual evidence confirming the intentional  burning of villages around El Fasher very likely by RSF between March 31 and April 25, 2024. The report states: ""Yale HRL also confirms an additional 11 communities are verified to have been burned, potentially by RSF forces between 31 March and 25 April 2024. Significantly, three of these likely arson attacks occurred 26-44 km west of Mellit, a reported RSF staging ground for their attack on El-Fasher. Mellit is approximately 90 km north of El-Fasher. As of publication, Yale HRL has confirmed that a total of 22 communities in North Darfur have been attacked in a manner consistent with the intentional targeting and burning of civilian structures, 19 communities to the northwest of El-Fasher between 1 March – 20 April 2024 and three west of Mellit (and north of El-Fasher) between 20–25 April 2024""", Indiscriminate use of weapons
4/29/24,"On Monday, April 29, bloody clashes occured between the army and the RSF  in villages East of Wad Madani, the capital of El Gezira State.","Military operations (battle,  shelling)"
5/1/24,"For nine consecutive days, that is from around April 27 to May 6, the Sudan Armed Forces (SAF)  and the RSF have exchanged artillery shelling,  using Katyusha rockets and various shells, in Babanusa, West Kordofan. The fighting further destroyed the city that many residents had already left.
According to sources consulted by Sudan War Monitor, the SAF were inside the 22nd Infantry Division base, the last military installation of the Sudan Army’s control in West Kordofan, while the RSF troops fought from the outskirts of the city, sheltering  in residents’ homes and under trees to avoid aircraft bombardment. According to the Sudan War Monitor’s sources, the bombing damaged many civilians’ homes in which RSF fighters were sheltering. The neighborhoods of Al-Salam South, Al-Tarbiyah, Abu Ismail South, Al-Sahafa East, Al-Sahafa West, and the Babanusa Dairy Factory neighborhood were those where homes were most completely and partially damaged. In addition, government institutions and facilities, such as the buildings of the Sudan Railway Authority (Western Region Headquarters), some schools, and water sources were also damaged.
According to the same sources the shelling also, injured or killed a large number of livestock as well as fighters on both the RSF and SAF sides. At least, three RSF fighters and two Army soldiers of the Artillery Corps were killed. So, in total, besides the destruction of homes, there were at least  5 combattants and 4 civilians killed.","Military operations (battle,  shelling),  Indiscriminate use of weapons,  Willful killing of civilians,  Damage or destruction of civilian critical infrastructure"
5/2/24,"On May 2, the International Committee of the Red Cross (ICRC) reported  that two of its drivers were killed by gunmen  in South Darfur, Sudan. Three other ICRC staff were injured. The incident occurred when the team was on its way back from Layba to assess the humanitarian situation of communities affected by armed violence in the region. ", Willful killing of civilians
5/3/24,"For nine consecutive days, that is from around April 27 to May 6, the Sudan Armed Forces (SAF)  and the RSF have exchanged artillery shelling,  using Katyusha rockets and various shells, in Babanusa, West Kordofan. The fighting further destroyed the city that many residents had already left.
According to sources consulted by Sudan War Monitor, the SAF were inside the 22nd Infantry Division base, the last military installation of the Sudan Army’s control in West Kordofan, while the RSF troops fought from the outskirts of the city, sheltering  in residents’ homes and under trees to avoid aircraft bombardment. According to the Sudan War Monitor’s sources, the bombing damaged many civilians’ homes in which RSF fighters were sheltering. The neighborhoods of Al-Salam South, Al-Tarbiyah, Abu Ismail South, Al-Sahafa East, Al-Sahafa West, and the Babanusa Dairy Factory neighborhood were those where homes were most completely and partially damaged. In addition, government institutions and facilities, such as the buildings of the Sudan Railway Authority (Western Region Headquarters), some schools, and water sources were also damaged.
On May 3rd, according to information received from the Babanusa Emergency Room, four members of the same family were killed as a result of the  violent artillery shelling carried out by the RSF on the Sudan Armed Forces who control the 22nd Infantry Division Headquarters. The family had sought refuge in the 22nd Infantry Division. As a reminder, Babanusa has been the theater of several violent clashes between the RSF and the Sudanese Army since 2023.According to the same sources the shelling also, injured or killed a large number of livestock as well as fighters on both the RSF and SAF sides. At least, three RSF fighters and two Army soldiers of the Artillery Corps were killed. So, in total, besides the destruction of homes, there were at least  5 combattants and 4 civilians killed.","Military operations (battle,  shelling),  Indiscriminate use of weapons,  Willful killing of civilians,  Damage or destruction of civilian critical infrastructure"
5/3/24,"On May 3rd, World Press Freedom Day, the Sudan Media Forum reported the following: « The press has become a target. Journalists, both men and women, face systematic violence – killings, destruction of media houses, censorship, and illegal occupations. This ‘media blackout’ prevents them from reporting, informing the public, and upholding press freedom. (…) Both sides wage a “war on media,” spreading propaganda and misinformation to manipulate public opinion. Communication networks are disrupted, further isolating citizens, and hindering their ability to access information and aid."" Their assessment was corrobated by an Assessment of Reporters Without Borders, a Paris-based press freedom advocacy organization. According to the 2024 World Press Freedom Index, published on May 3rd by  Reporters Without Borders, press freedom is still in « a very serious situation » in Sudan. Out of a total of 180 countries, Sudan which rated 149 with a score of 35.73 in 2024 from an earlier rating of 148 with a score of 40.83 in 2023.",Violent crackdowns on protesters/opponents/civil rights abuse
5/4/24,"From May 4th night to the morning of May 5th, the SAF has continued Artillery shelling targeting mainly positions in Khartoum Bahri and central Khartoum, where the RSF maintains the control of some areas. Observers reported smokes rising from the centre of Khartoum Bahri and the Doroshab suburb north of Khartoum Bahri.  According to Sudan Tribune, « Since late 2023, the RSF has successfully taken control of army garrisons in four out of five Darfur state capitals: El Geneina, Zalingei, Nyala, and El Daein. Only El Fasher, the capital of North Darfur, remains under army control. »","Military operations (battle,  shelling),  Indiscriminate use of weapons"
